date,item_id,sales,price,promo,weekday,month,revenue
2021-01-01,0,36,21.3,0,4,1,766.8000000000001
2021-01-02,0,36,21.3,0,5,1,766.8000000000001
2021-01-03,0,35,21.3,0,6,1,745.5
2021-01-04,0,41,21.3,0,0,1,873.3000000000001
2021-01-05,0,53,21.3,0,1,1,1128.9
2021-01-06,0,81,17.04,1,2,1,1380.24
2021-01-07,0,45,21.3,0,3,1,958.5
2021-01-08,0,34,21.3,0,4,1,724.2
2021-01-09,0,38,21.3,0,5,1,809.4
2021-01-10,0,35,21.3,0,6,1,745.5
2021-01-11,0,46,21.3,0,0,1,979.8000000000001
2021-01-12,0,45,21.3,0,1,1,958.5
2021-01-13,0,82,17.04,1,2,1,1397.28
2021-01-14,0,45,21.3,0,3,1,958.5
2021-01-15,0,43,21.3,0,4,1,915.9
2021-01-16,0,36,21.3,0,5,1,766.8000000000001
2021-01-17,0,54,17.04,1,6,1,920.16
2021-01-18,0,44,21.3,0,0,1,937.2
2021-01-19,0,55,21.3,0,1,1,1171.5
2021-01-20,0,55,21.3,0,2,1,1171.5
2021-01-21,0,52,21.3,0,3,1,1107.6000000000001
2021-01-22,0,48,21.3,0,4,1,1022.4000000000001
2021-01-23,0,33,21.3,0,5,1,702.9
2021-01-24,0,44,21.3,0,6,1,937.2
2021-01-25,0,47,21.3,0,0,1,1001.1
2021-01-26,0,52,21.3,0,1,1,1107.6000000000001
2021-01-27,0,53,21.3,0,2,1,1128.9
2021-01-28,0,51,21.3,0,3,1,1086.3
2021-01-29,0,46,21.3,0,4,1,979.8000000000001
2021-01-30,0,38,21.3,0,5,1,809.4
2021-01-31,0,45,21.3,0,6,1,958.5
2021-02-01,0,44,21.3,0,0,2,937.2
2021-02-02,0,56,21.3,0,1,2,1192.8
2021-02-03,0,54,21.3,0,2,2,1150.2
2021-02-04,0,54,21.3,0,3,2,1150.2
2021-02-05,0,47,21.3,0,4,2,1001.1
2021-02-06,0,38,21.3,0,5,2,809.4
2021-02-07,0,34,21.3,0,6,2,724.2
2021-02-08,0,75,17.04,1,0,2,1278.0
2021-02-09,0,59,21.3,0,1,2,1256.7
2021-02-10,0,61,21.3,0,2,2,1299.3
2021-02-11,0,58,21.3,0,3,2,1235.4
2021-02-12,0,43,21.3,0,4,2,915.9
2021-02-13,0,43,21.3,0,5,2,915.9
2021-02-14,0,46,21.3,0,6,2,979.8000000000001
2021-02-15,0,45,21.3,0,0,2,958.5
2021-02-16,0,60,21.3,0,1,2,1278.0
2021-02-17,0,60,21.3,0,2,2,1278.0
2021-02-18,0,55,21.3,0,3,2,1171.5
2021-02-19,0,48,21.3,0,4,2,1022.4000000000001
2021-02-20,0,40,21.3,0,5,2,852.0
2021-02-21,0,42,21.3,0,6,2,894.6
2021-02-22,0,52,21.3,0,0,2,1107.6000000000001
2021-02-23,0,57,21.3,0,1,2,1214.1000000000001
2021-02-24,0,59,21.3,0,2,2,1256.7
2021-02-25,0,59,21.3,0,3,2,1256.7
2021-02-26,0,44,21.3,0,4,2,937.2
2021-02-27,0,44,21.3,0,5,2,937.2
2021-02-28,0,46,21.3,0,6,2,979.8000000000001
2021-03-01,0,48,21.3,0,0,3,1022.4000000000001
2021-03-02,0,59,21.3,0,1,3,1256.7
2021-03-03,0,67,21.3,0,2,3,1427.1000000000001
2021-03-04,0,55,21.3,0,3,3,1171.5
2021-03-05,0,47,21.3,0,4,3,1001.1
2021-03-06,0,44,21.3,0,5,3,937.2
2021-03-07,0,47,21.3,0,6,3,1001.1
2021-03-08,0,53,21.3,0,0,3,1128.9
2021-03-09,0,60,21.3,0,1,3,1278.0
2021-03-10,0,68,21.3,0,2,3,1448.4
2021-03-11,0,64,21.3,0,3,3,1363.2
2021-03-12,0,52,21.3,0,4,3,1107.6000000000001
2021-03-13,0,44,21.3,0,5,3,937.2
2021-03-14,0,43,21.3,0,6,3,915.9
2021-03-15,0,52,21.3,0,0,3,1107.6000000000001
2021-03-16,0,64,21.3,0,1,3,1363.2
2021-03-17,0,66,21.3,0,2,3,1405.8
2021-03-18,0,63,21.3,0,3,3,1341.9
2021-03-19,0,52,21.3,0,4,3,1107.6000000000001
2021-03-20,0,39,21.3,0,5,3,830.7
2021-03-21,0,49,21.3,0,6,3,1043.7
2021-03-22,0,52,21.3,0,0,3,1107.6000000000001
2021-03-23,0,62,21.3,0,1,3,1320.6000000000001
2021-03-24,0,66,21.3,0,2,3,1405.8
2021-03-25,0,65,21.3,0,3,3,1384.5
2021-03-26,0,59,21.3,0,4,3,1256.7
2021-03-27,0,46,21.3,0,5,3,979.8000000000001
2021-03-28,0,69,17.04,1,6,3,1175.76
2021-03-29,0,56,21.3,0,0,3,1192.8
2021-03-30,0,66,21.3,0,1,3,1405.8
2021-03-31,0,64,21.3,0,2,3,1363.2
2021-04-01,0,65,21.3,0,3,4,1384.5
2021-04-02,0,51,21.3,0,4,4,1086.3
2021-04-03,0,46,21.3,0,5,4,979.8000000000001
2021-04-04,0,48,21.3,0,6,4,1022.4000000000001
2021-04-05,0,56,21.3,0,0,4,1192.8
2021-04-06,0,66,21.3,0,1,4,1405.8
2021-04-07,0,64,21.3,0,2,4,1363.2
2021-04-08,0,58,21.3,0,3,4,1235.4
2021-04-09,0,47,21.3,0,4,4,1001.1
2021-04-10,0,45,21.3,0,5,4,958.5
2021-04-11,0,48,21.3,0,6,4,1022.4000000000001
2021-04-12,0,83,17.04,1,0,4,1414.32
2021-04-13,0,68,21.3,0,1,4,1448.4
2021-04-14,0,65,21.3,0,2,4,1384.5
2021-04-15,0,61,21.3,0,3,4,1299.3
2021-04-16,0,46,21.3,0,4,4,979.8000000000001
2021-04-17,0,65,17.04,1,5,4,1107.6
2021-04-18,0,48,21.3,0,6,4,1022.4000000000001
2021-04-19,0,57,21.3,0,0,4,1214.1000000000001
2021-04-20,0,62,21.3,0,1,4,1320.6000000000001
2021-04-21,0,65,21.3,0,2,4,1384.5
2021-04-22,0,54,21.3,0,3,4,1150.2
2021-04-23,0,48,21.3,0,4,4,1022.4000000000001
2021-04-24,0,46,21.3,0,5,4,979.8000000000001
2021-04-25,0,47,21.3,0,6,4,1001.1
2021-04-26,0,55,21.3,0,0,4,1171.5
2021-04-27,0,93,17.04,1,1,4,1584.72
2021-04-28,0,64,21.3,0,2,4,1363.2
2021-04-29,0,56,21.3,0,3,4,1192.8
2021-04-30,0,51,21.3,0,4,4,1086.3
2021-05-01,0,44,21.3,0,5,5,937.2
2021-05-02,0,46,21.3,0,6,5,979.8000000000001
2021-05-03,0,78,17.04,1,0,5,1329.12
2021-05-04,0,55,21.3,0,1,5,1171.5
2021-05-05,0,67,21.3,0,2,5,1427.1000000000001
2021-05-06,0,56,21.3,0,3,5,1192.8
2021-05-07,0,46,21.3,0,4,5,979.8000000000001
2021-05-08,0,44,21.3,0,5,5,937.2
2021-05-09,0,43,21.3,0,6,5,915.9
2021-05-10,0,56,21.3,0,0,5,1192.8
2021-05-11,0,62,21.3,0,1,5,1320.6000000000001
