date,item_id,sales,price,promo,weekday,month,year,day,revenue
2021-01-01,0,0.4,-0.9648397104446741,0,4,1,2021,1,-0.4208188141216974
2021-01-02,0,0.4,-0.9648397104446741,0,5,1,2021,2,-0.4208188141216974
2021-01-03,0,0.35,-0.9648397104446741,0,6,1,2021,3,-0.43560411489497564
2021-01-04,0,0.65,-0.9648397104446741,0,0,1,2021,4,-0.3468923102553066
2021-01-05,0,1.25,-0.9648397104446741,0,1,1,2021,5,-0.16946870097596856
2021-01-07,0,0.85,-0.9648397104446741,0,3,1,2021,7,-0.287751107162194
2021-01-08,0,0.3,-0.9648397104446741,0,4,1,2021,8,-0.4503894156682538
2021-01-09,0,0.5,-0.9648397104446741,0,5,1,2021,9,-0.39124821257514114
2021-01-10,0,0.35,-0.9648397104446741,0,6,1,2021,10,-0.43560411489497564
2021-01-11,0,0.9,-0.9648397104446741,0,0,1,2021,11,-0.27296580638891577
2021-01-12,0,0.85,-0.9648397104446741,0,1,1,2021,12,-0.287751107162194
2021-01-14,0,0.85,-0.9648397104446741,0,3,1,2021,14,-0.287751107162194
2021-01-15,0,0.75,-0.9648397104446741,0,4,1,2021,15,-0.3173217087087503
2021-01-16,0,0.4,-0.9648397104446741,0,5,1,2021,16,-0.4208188141216974
2021-01-17,0,1.3,-1.074974146845915,1,6,1,2021,17,-0.3143646485540947
2021-01-18,0,0.8,-0.9648397104446741,0,0,1,2021,18,-0.3025364079354721
2021-01-19,0,1.35,-0.9648397104446741,0,1,1,2021,19,-0.13989809942941228
2021-01-20,0,1.35,-0.9648397104446741,0,2,1,2021,20,-0.13989809942941228
2021-01-21,0,1.2,-0.9648397104446741,0,3,1,2021,21,-0.1842540017492467
2021-01-22,0,1.0,-0.9648397104446741,0,4,1,2021,22,-0.24339520484235938
2021-01-23,0,0.25,-0.9648397104446741,0,5,1,2021,23,-0.465174716441532
2021-01-24,0,0.8,-0.9648397104446741,0,6,1,2021,24,-0.3025364079354721
2021-01-25,0,0.95,-0.9648397104446741,0,0,1,2021,25,-0.2581805056156376
2021-01-26,0,1.2,-0.9648397104446741,0,1,1,2021,26,-0.1842540017492467
2021-01-27,0,1.25,-0.9648397104446741,0,2,1,2021,27,-0.16946870097596856
2021-01-28,0,1.15,-0.9648397104446741,0,3,1,2021,28,-0.19903930252252497
2021-01-29,0,0.9,-0.9648397104446741,0,4,1,2021,29,-0.27296580638891577
2021-01-30,0,0.5,-0.9648397104446741,0,5,1,2021,30,-0.39124821257514114
2021-01-31,0,0.85,-0.9648397104446741,0,6,1,2021,31,-0.287751107162194
2021-02-01,0,0.8,-0.9648397104446741,0,0,2,2021,1,-0.3025364079354721
2021-02-02,0,1.4,-0.9648397104446741,0,1,2,2021,2,-0.12511279865613414
2021-02-03,0,1.3,-0.9648397104446741,0,2,2,2021,3,-0.15468340020269042
2021-02-04,0,1.3,-0.9648397104446741,0,3,2,2021,4,-0.15468340020269042
2021-02-05,0,0.95,-0.9648397104446741,0,4,2,2021,5,-0.2581805056156376
2021-02-06,0,0.5,-0.9648397104446741,0,5,2,2021,6,-0.39124821257514114
2021-02-07,0,0.3,-0.9648397104446741,0,6,2,2021,7,-0.4503894156682538
2021-02-09,0,1.55,-0.9648397104446741,0,1,2,2021,9,-0.08075689633629957
2021-02-10,0,1.65,-0.9648397104446741,0,2,2,2021,10,-0.0511862947897433
2021-02-11,0,1.5,-0.9648397104446741,0,3,2,2021,11,-0.0955421971095777
2021-02-12,0,0.75,-0.9648397104446741,0,4,2,2021,12,-0.3173217087087503
2021-02-13,0,0.75,-0.9648397104446741,0,5,2,2021,13,-0.3173217087087503
2021-02-14,0,0.9,-0.9648397104446741,0,6,2,2021,14,-0.27296580638891577
2021-02-15,0,0.85,-0.9648397104446741,0,0,2,2021,15,-0.287751107162194
2021-02-16,0,1.6,-0.9648397104446741,0,1,2,2021,16,-0.06597159556302143
2021-02-17,0,1.6,-0.9648397104446741,0,2,2,2021,17,-0.06597159556302143
2021-02-18,0,1.35,-0.9648397104446741,0,3,2,2021,18,-0.13989809942941228
2021-02-19,0,1.0,-0.9648397104446741,0,4,2,2021,19,-0.24339520484235938
2021-02-20,0,0.6,-0.9648397104446741,0,5,2,2021,20,-0.3616776110285848
2021-02-21,0,0.7,-0.9648397104446741,0,6,2,2021,21,-0.3321070094820284
2021-02-22,0,1.2,-0.9648397104446741,0,0,2,2021,22,-0.1842540017492467
2021-02-23,0,1.45,-0.9648397104446741,0,1,2,2021,23,-0.11032749788285584
2021-02-24,0,1.55,-0.9648397104446741,0,2,2,2021,24,-0.08075689633629957
2021-02-25,0,1.55,-0.9648397104446741,0,3,2,2021,25,-0.08075689633629957
2021-02-26,0,0.8,-0.9648397104446741,0,4,2,2021,26,-0.3025364079354721
2021-02-27,0,0.8,-0.9648397104446741,0,5,2,2021,27,-0.3025364079354721
2021-02-28,0,0.9,-0.9648397104446741,0,6,2,2021,28,-0.27296580638891577
2021-03-01,0,1.0,-0.9648397104446741,0,0,3,2021,1,-0.24339520484235938
2021-03-02,0,1.55,-0.9648397104446741,0,1,3,2021,2,-0.08075689633629957
2021-03-03,0,1.95,-0.9648397104446741,0,2,3,2021,3,0.03752550984992584
2021-03-04,0,1.35,-0.9648397104446741,0,3,3,2021,4,-0.13989809942941228
2021-03-05,0,0.95,-0.9648397104446741,0,4,3,2021,5,-0.2581805056156376
2021-03-06,0,0.8,-0.9648397104446741,0,5,3,2021,6,-0.3025364079354721
2021-03-07,0,0.95,-0.9648397104446741,0,6,3,2021,7,-0.2581805056156376
2021-03-08,0,1.25,-0.9648397104446741,0,0,3,2021,8,-0.16946870097596856
